organization,github_org,scraped,notes
Bitcoin,bitcoin,y,
Ripple,ripple,y,
Ethereum,ethereum,y,
Stellar,stellar,y,
Eos,EOSIO,y,
Litecoin,litecoin-project,y,
Bitcoin Cash,Bitcoin-ABC,y,
Cardano,,,currency is just one project of many: https://github.com/input-output-hk/cardano-sl
Grin,mimblewimble,y,
TRON,tronprotocol,y,
Digital Cash,dashpay,y,
Binance Coin,binance-exchange,y,
Bitoin Cash SV,bitcoin-sv,y,
Tezos,tezos,y,
Ontology,ontio,y,
Monero,,,Set up as a user (monero-project) not an org
Zcash,zcash,y,
Huobi Token,,,
NEO,neo-project,y,
Ravencoin,RavenProject,y,
Ethereum Classic,ethereumclassic,y,
Dogecoin,dogecoin,y,
IOTA,iotaledger,y,
Maker,makerdao,y,
MaidSafeCoin,maidsafe,y,
VeChain,vechain,y,
New Economy Movement,NemProject,y,
Chainlink,,,https://github.com/smartcontractkit/chainlink
Decentraland,decentraland,y,
Decred,decred,y,
QuarkChain,QuarkChain,y,
Lisk,LiskHQ,y,
Zilliqa,Zilliqa,y,
Dentacoin,Dentacoin,y,
Basic Attention Token,,,Sub-project of Brave browser: https://github.com/brave-intl
0x,0xProject,y,
Qtum,qtumproject,y,
Bitcoin Gold,BTCGPU,y,Problem with scraping so not saved as csv
ICON,icon-project,y,
Holo,holochain,y,
Steem,steemit,,
DigiByte,digibyte,,
Siacoin,,,https://github.com/NebulousLabs/Sia
OmiseGO,omisego,,
Bytom,Bytom,,
IOST,iost-official,,
Waves,wavesplatform,,
ReddCoin,reddcoin-project,,
BitShares,bitshares,,
Bitcoin Diamond,,,https://github.com/eveybcd/BitcoinDiamond
NULS,nuls-io,,
Komodo,KomodoPlatform,,
Augur,AugurProject,,
Gas,,,Also from Neo-Project
Status,status-im,,
aelf,AelfProject,,
Waltonchain,WaltonChain,,
Nano,nanocurrency,,
Aeternity,aeternity,,
ZCoin,zcoinofficial,,
KuCoin Shares,Kucoin,,
Gnosis,gnosis,,
Bytecoin,,,https://github.com/bcndev/bytecoin
Horizen,ZencashOfficial,,
Hxro,,,
QASH,qashcoin,,
PCHAIN,pchain-org,,
Enjin Coin,enjin,,
Aion,aionnetwork,,
Verge,vergecurrency,,
PIVX,PIVX-Project,,
Storj,storj,,
Revain,Revain,,
Elastos,elastos,,
Stratis,stratisproject,,
Power Ledger,,,
Nebulas,nebulasio,,
WAX,waxio,,
IoTeX,iotexproject,,
GXChain,gxchain,,
Polymath,PolymathNetwork,,
Numeraire,numerai,,
Crypto.com,crypto-com,,
Loopring,loopring,,
Theta Token,thetatoken,,
Melon,melonproject,,
Golem,golemfactory,,
Wanchain,wanchain,,
Dent,dentcoin,,
Enigma,enigmampc,,
Civic,civic,,
Ardor,,,
Populous,bitpopulous,,
Ark,ArkEcosystem,,
Nexo,nexofinance,,
Loom Network,loomnetwork,,
Factom,FactomProject,,
MonaCoin,monacoinproject,,
Kyber Network,kybernetwork,,
TenX,tenx-tech,,
