,org,female,male,unknown,total
0,0xProject,33.0,11492.0,319.0,11844.0
1,AelfProject,0.0,2347.0,5745.0,8092.0
2,ArkEcosystem,9.0,9544.0,2432.0,11985.0
3,AugurProject,368.0,40737.0,4400.0,45505.0
4,Bitcoin-ABC,46.0,7003.0,2502.0,9551.0
5,BlocknetDX,190.0,5010.0,3405.0,8605.0
6,Bytom,947.0,37.0,4336.0,5320.0
7,CortexFoundation,2.0,9.0,120.0,131.0
8,Dentacoin,0.0,839.0,3012.0,3851.0
9,EOSIO,270.0,8235.0,2244.0,10749.0
10,FactomProject,353.0,12885.0,3380.0,16618.0
11,GIFTO-io,0.0,16.0,0.0,16.0
12,KomodoPlatform,126.0,915.0,1849.0,2890.0
13,Kucoin,0.0,30.0,335.0,365.0
14,LiskHQ,1677.0,22214.0,2263.0,26154.0
15,NemProject,142.0,848.0,2905.0,3895.0
16,PIVX-Project,20.0,14537.0,3505.0,18062.0
17,PolymathNetwork,247.0,4358.0,853.0,5458.0
18,QuarkChain,22.0,237.0,904.0,1163.0
19,RavenProject,167.0,9329.0,1315.0,10811.0
20,Revain,0.0,17.0,9.0,26.0
21,WaykiChain,0.0,720.0,110.0,830.0
22,ZencashOfficial,279.0,6070.0,2985.0,9334.0
23,Zilliqa,453.0,4621.0,2510.0,7584.0
24,aeternity,711.0,9519.0,2359.0,12589.0
25,aionnetwork,658.0,1653.0,3724.0,6035.0
26,bancorprotocol,102.0,74.0,455.0,631.0
27,binance-exchange,12.0,7.0,37.0,56.0
28,bitcoin,37.0,9823.0,2257.0,12117.0
29,bitcoin-sv,45.0,6036.0,2061.0,8142.0
30,bitpopulous,0.0,46.0,238.0,284.0
31,bitshares,1408.0,17078.0,9168.0,27654.0
32,civic,0.0,746.0,160.0,906.0
33,crypto-com,0.0,67.0,14.0,81.0
34,dashpay,7.0,3611.0,3189.0,6807.0
35,decentraland,16.0,9862.0,298.0,10176.0
36,decred,6.0,4712.0,1000.0,5718.0
37,digibyte,24.0,8150.0,1678.0,9852.0
38,dogecoin,14.0,5139.0,775.0,5928.0
39,dragonchain,0.0,112.0,20.0,132.0
40,eidoo,5.0,160.0,566.0,731.0
41,elastos,693.0,3884.0,4055.0,8632.0
42,enigmampc,588.0,5085.0,2557.0,8230.0
43,enjin,17.0,439.0,39.0,495.0
44,ethereum,8767.0,85163.0,45432.0,139362.0
45,ethereumclassic,3951.0,30383.0,12148.0,46482.0
46,funfair-tech,0.0,202.0,1.0,203.0
47,gnosis,6.0,12954.0,3217.0,16177.0
48,golemfactory,532.0,7267.0,4424.0,12223.0
49,gxchain,22.0,1255.0,1968.0,3245.0
50,holochain,1194.0,12167.0,360.0,13721.0
51,icon-project,596.0,628.0,3103.0,4327.0
52,iost-official,41.0,1240.0,5379.0,6660.0
53,iotaledger,1000.0,15576.0,2029.0,18605.0
54,iotexproject,0.0,613.0,2270.0,2883.0
55,kybernetwork,1167.0,5438.0,2584.0,9189.0
56,litecoin-project,40.0,7926.0,1523.0,9489.0
57,loomnetwork,438.0,9733.0,668.0,10839.0
58,loopring,1.0,3071.0,8850.0,11922.0
59,maidsafe,989.0,10560.0,2732.0,14281.0
60,makerdao,1468.0,7548.0,4674.0,13690.0
61,melonproject,1765.0,7842.0,527.0,10134.0
62,mimblewimble,12.0,1434.0,2536.0,3982.0
63,mithio,0.0,64.0,27.0,91.0
64,monacoinproject,30.0,8760.0,1322.0,10112.0
65,monero-project,74.0,3924.0,9144.0,13142.0
66,nanocurrency,4.0,937.0,2682.0,3623.0
67,nebulasio,152.0,1808.0,2791.0,4751.0
68,neo-project,1093.0,761.0,1638.0,3492.0
69,nexofinance,0.0,3.0,0.0,3.0
70,nuls-io,4.0,4421.0,4206.0,8631.0
71,numerai,2.0,427.0,51.0,480.0
72,omisego,96.0,2020.0,2609.0,4725.0
73,ontio,136.0,5728.0,4982.0,10846.0
74,particl,384.0,3644.0,2230.0,6258.0
75,pchain-org,11.0,419.0,368.0,798.0
76,pumapayio,92.0,138.0,258.0,488.0
77,qtumproject,1350.0,53110.0,15572.0,70032.0
78,raiden-network,838.0,9022.0,1361.0,11221.0
79,reddcoin-project,41.0,5704.0,756.0,6501.0
80,ripple,773.0,23727.0,2242.0,26742.0
81,status-im,1584.0,20521.0,3884.0,25989.0
82,steemit,815.0,5758.0,5408.0,11981.0
83,stellar,1479.0,18891.0,3390.0,23760.0
84,storj,1205.0,8233.0,873.0,10311.0
85,stratisproject,2.0,4214.0,2431.0,6647.0
86,syscoin,180.0,4134.0,4145.0,8459.0
87,tenx-tech,0.0,50.0,0.0,50.0
88,tezos,3.0,30.0,16.0,49.0
89,thetatoken,475.0,84.0,735.0,1294.0
90,tronprotocol,1200.0,5372.0,6397.0,12969.0
91,vechain,1615.0,296.0,1381.0,3292.0
92,vergecurrency,7.0,1741.0,1697.0,3445.0
93,vertcoin-project,2.0,4023.0,501.0,4526.0
94,wanchain,70.0,1880.0,1273.0,3223.0
95,wavesplatform,1097.0,15215.0,8586.0,24898.0
96,waxio,0.0,10.0,0.0,10.0
97,z-classic,29.0,796.0,346.0,1171.0
98,zcash,1146.0,4915.0,3309.0,9370.0
99,zcoinofficial,6.0,1101.0,868.0,1975.0
