organization,github_org,scraped,notes
Bitcoin,bitcoin,y,
Ripple,ripple,,
Ethereum,ethereum,,
Stellar,stellar,,
Eos,EOSIO,,
Litecoin,litecoin-project,,
Bitcoin Cash,Bitcoin-ABC,,
Cardano,,n,currency is just one project of many: https://github.com/input-output-hk/cardano-sl
Grin,mimblewimble,,
TRON,tronprotocol,,
Digital Cash,dashpay,,
Binance Coin,binance-exchange,,
Bitoin Cash SV,bitcoin-sv,,
Tezos,tezos,,
Ontology,ontio,,
Monero,monero-project,,Set up as a user (monero-project) not an org
Zcash,zcash,,
Huobi Token,,n,
NEO,neo-project,,
Ravencoin,RavenProject,,
Ethereum Classic,ethereumclassic,,
Dogecoin,dogecoin,,
IOTA,iotaledger,,
Maker,makerdao,,
MaidSafeCoin,maidsafe,,
VeChain,vechain,,
New Economy Movement,NemProject,,
Chainlink,,n,https://github.com/smartcontractkit/chainlink
Decentraland,decentraland,,
Decred,decred,,
QuarkChain,QuarkChain,,
Lisk,LiskHQ,,
Zilliqa,Zilliqa,,
Dentacoin,Dentacoin,,
Basic Attention Token,,n,Sub-project of Brave browser: https://github.com/brave-intl
0x,0xProject,,
Qtum,qtumproject,,
Bitcoin Gold,BTCGPU,n,Problem with scraping so not saved as csv
ICON,icon-project,,
Holo,holochain,,
Steem,steemit,,
DigiByte,digibyte,,Set up as a user (digibyte) not an org
Siacoin,,n,https://github.com/NebulousLabs/Sia
OmiseGO,omisego,,
Bytom,Bytom,,
IOST,iost-official,,
Waves,wavesplatform,,
ReddCoin,reddcoin-project,,
BitShares,bitshares,,
Bitcoin Diamond,,n,https://github.com/eveybcd/BitcoinDiamond
NULS,nuls-io,,Set up as a user
Komodo,KomodoPlatform,,
Augur,AugurProject,,
Gas,,n,Also from Neo-Project
Status,status-im,,
aelf,AelfProject,,
Waltonchain,WaltonChain,,Set up as a user
Nano,nanocurrency,,
Aeternity,aeternity,,
ZCoin,zcoinofficial,,
KuCoin Shares,Kucoin,,
Gnosis,gnosis,,
Bytecoin,,n,https://github.com/bcndev/bytecoin
Horizen,ZencashOfficial,,
Hxro,,n,
QASH,qashcoin,,Set up as a user
PCHAIN,pchain-org,,Set up as a user
Enjin Coin,enjin,,
Aion,aionnetwork,,
Verge,vergecurrency,,
PIVX,PIVX-Project,,Set up as a user
Storj,storj,,
Revain,Revain,,
Elastos,elastos,,
Stratis,stratisproject,,
Power Ledger,,n,
Nebulas,nebulasio,,
WAX,waxio,,
IoTeX,iotexproject,,
GXChain,gxchain,,
Polymath,PolymathNetwork,,
Numeraire,numerai,,
Crypto.com,crypto-com,,
Loopring,loopring,,
Theta Token,thetatoken,,
Melon,melonproject,,
Golem,golemfactory,,
Wanchain,wanchain,,
Dent,dentcoin,,Set up as a user
Enigma,enigmampc,,
Civic,civic,,Set up as a user
Ardor,,n,
Populous,bitpopulous,,
Ark,ArkEcosystem,,
Nexo,nexofinance,,
Loom Network,loomnetwork,,
Factom,FactomProject,,
MonaCoin,monacoinproject,,
Kyber Network,kybernetwork,,
TenX,tenx-tech,,
Blocknet,BlocknetDX,,
FunFair,funfair-tech,,
Eidoo,eidoo,,
Bancor,bancorprotocol,,
Syscoin,syscoin,,
WaykiChain,WaykiChain,,
Dragonchain,dragonchain,,
Mithril,MithrilJS,,
Vertcoin,vertcoin-project,,
Ethos,,n,
ZClassic,z-classic,,
Cortex,CortexFoundation,,
Storm,,n,
PumaPay,pumapayio,,
Gifto,GIFTO-io,,User
Nxt,,,
Raiden Network Token,raiden-network,,
Metal,MetalPay,,
Particl,particl,,
